condition,n_seeds,primary_loss_mean,primary_loss_ci_low,primary_loss_ci_high,full_loss_mean,stop_rate_mean,highconf_wrong_rate_mean,reconstruct_mean
single,100,0.23203333333333329,0.2284,0.23553333333333332,0.13959333333333335,0.0,0.07366108474604989,0.0
majority,100,0.23379999999999998,0.2300658333333333,0.2376333333333333,0.14051999999999998,0.0,0.06799515182898584,0.0
strong,100,0.19419166666666662,0.19120000000000004,0.19723333333333332,0.12973583333333333,0.17553000000000002,0.06745652225030568,2.51
coreno_full,100,0.18265833333333334,0.17888333333333337,0.18630833333333333,0.13065250000000003,0.006996666666666667,0.04621824292124804,4.72
coreno_no_plurality,100,0.19910833333333333,0.19525812499999998,0.20296708333333338,0.13029083333333336,0.014456666666666666,0.06412910491525659,6.73
coreno_no_dissent,100,0.18265833333333334,0.17896666666666672,0.18640854166666668,0.13065250000000003,0.006996666666666667,0.04621824292124804,4.72
coreno_no_stop,100,0.18463333333333332,0.18053249999999993,0.1887,0.13136,0.0,0.04621824292124804,4.88
coreno_no_reconstruct,100,0.18229166666666669,0.17850812499999996,0.1860254166666667,0.13056333333333334,0.006920000000000001,0.04618186035088798,0.0
coreno_history_shuffle,100,0.18265833333333334,0.17889979166666667,0.186525,0.13065333333333334,0.006999999999999999,0.04621201914650972,4.72
coreno_agent_id_shuffle,100,0.22575,0.22202479166666667,0.22943333333333332,0.15113666666666664,0.01588,0.048690442858725126,7.48
